timestamp,test_name,num_threads,total_phases,elapsed_seconds,phases_per_second,status
2025-03-29 13:53:50,perf_SR_EBO,1,100000,0.003,33235929.9,success
2025-03-29 13:53:50,perf_SR_EBO,1,100000,0.0031,32740854.82,success
2025-03-29 13:53:50,perf_SR_EBO,1,100000,0.0032,31288122.62,success
2025-03-29 13:53:53,perf_SR_EBO,2,100000,2.9536,33857.46,success
2025-03-29 13:53:56,perf_SR_EBO,2,100000,2.8958,34532.88,success
2025-03-29 13:53:59,perf_SR_EBO,2,100000,3.1441,31805.66,success
2025-03-29 13:54:04,perf_SR_EBO,4,100000,4.7081,21239.98,success
2025-03-29 13:54:08,perf_SR_EBO,4,100000,4.4667,22388.08,success
2025-03-29 13:54:13,perf_SR_EBO,4,100000,4.4834,22304.56,success
2025-03-29 13:54:18,perf_SR_EBO,8,100000,5.1254,19510.8,success
2025-03-29 13:54:23,perf_SR_EBO,8,100000,5.119,19535.06,success
2025-03-29 13:54:28,perf_SR_EBO,8,100000,5.1112,19565.07,success
2025-03-29 13:54:34,perf_SR_EBO,16,100000,5.5878,17896.05,success
2025-03-29 13:54:39,perf_SR_EBO,16,100000,5.6412,17726.62,success
2025-03-29 13:54:45,perf_SR_EBO,16,100000,5.6761,17617.82,success
