threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,1227,True
1,1000,64000,1987,True
1,1000,96000,3356,True
1,1000,128000,3727,True
1,1000,160000,4509,True
2,1000,32000,2107,True
2,1000,64000,4010,True
2,1000,96000,5542,True
2,1000,128000,7779,True
2,1000,160000,9051,True
4,1000,32000,2655,True
4,1000,64000,5382,True
4,1000,96000,8018,True
4,1000,128000,10673,True
4,1000,160000,13591,True
8,1000,32000,3173,True
8,1000,64000,6115,True
8,1000,96000,9152,True
8,1000,128000,12570,True
8,1000,160000,15819,True
16,1000,32000,4500,True
16,1000,64000,6483,True
16,1000,96000,9534,True
16,1000,128000,13203,True
16,1000,160000,16124,True
