threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,477,True
1,1000,64000,820,True
1,1000,96000,1045,True
1,1000,128000,1361,True
1,1000,160000,1773,True
2,1000,32000,607,True
2,1000,64000,1078,True
2,1000,96000,2087,True
2,1000,128000,2651,True
2,1000,160000,2963,True
4,1000,32000,859,True
4,1000,64000,1401,True
4,1000,96000,1905,True
4,1000,128000,2590,True
4,1000,160000,3100,True
8,1000,32000,1230,True
8,1000,64000,1976,True
8,1000,96000,2266,True
8,1000,128000,2880,True
8,1000,160000,3338,True
16,1000,32000,1850,True
16,1000,64000,2631,True
16,1000,96000,3024,True
16,1000,128000,3602,True
16,1000,160000,4109,True
