threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,1765,True
1,1000,64000,3251,True
1,1000,96000,5131,True
1,1000,128000,6002,True
1,1000,160000,7177,True
2,1000,32000,3268,True
2,1000,64000,6150,True
2,1000,96000,9013,True
2,1000,128000,11762,True
2,1000,160000,14668,True
4,1000,32000,3621,True
4,1000,64000,6537,True
4,1000,96000,9328,True
4,1000,128000,12466,True
4,1000,160000,15083,True
8,1000,32000,4302,True
8,1000,64000,7503,True
8,1000,96000,10905,True
8,1000,128000,14128,True
8,1000,160000,17418,True
16,1000,32000,4605,True
16,1000,64000,8270,True
16,1000,96000,11401,True
16,1000,128000,15007,True
16,1000,160000,18534,True
