threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,579,True
1,1000,60,140,30.0,991,645,True
1,1000,100,100,50.0,991,620,True
1,1000,140,60,70.0,991,578,True
1,1000,180,20,90.0,991,548,True
2,1000,20,180,10.0,991,567,True
2,1000,60,140,30.0,991,546,True
2,1000,100,100,50.0,991,553,True
2,1000,140,60,70.0,991,715,True
2,1000,180,20,90.0,991,866,True
4,1000,20,180,10.0,991,505,True
4,1000,60,140,30.0,991,935,True
4,1000,100,100,50.0,991,1186,True
4,1000,140,60,70.0,991,1433,True
4,1000,180,20,90.0,991,1961,True
8,1000,20,180,10.0,991,1209,True
8,1000,60,140,30.0,991,2682,True
8,1000,100,100,50.0,991,3458,True
8,1000,140,60,70.0,991,4435,True
8,1000,180,20,90.0,991,5872,True
16,1000,20,180,10.0,991,31287,True
16,1000,60,140,30.0,991,35042,True
16,1000,100,100,50.0,991,34094,True
16,1000,140,60,70.0,991,38159,True
16,1000,180,20,90.0,991,42005,True
