threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,522,True
1,1000,60,140,30.0,991,601,True
1,1000,100,100,50.0,991,585,True
1,1000,140,60,70.0,991,543,True
1,1000,180,20,90.0,991,482,True
2,1000,20,180,10.0,991,473,True
2,1000,60,140,30.0,991,492,True
2,1000,100,100,50.0,991,538,True
2,1000,140,60,70.0,991,748,True
2,1000,180,20,90.0,991,851,True
4,1000,20,180,10.0,991,501,True
4,1000,60,140,30.0,991,825,True
4,1000,100,100,50.0,991,1204,True
4,1000,140,60,70.0,991,1368,True
4,1000,180,20,90.0,991,1709,True
8,1000,20,180,10.0,991,1004,True
8,1000,60,140,30.0,991,2027,True
8,1000,100,100,50.0,991,3236,True
8,1000,140,60,70.0,991,4539,True
8,1000,180,20,90.0,991,6062,True
16,1000,20,180,10.0,991,3419,True
16,1000,60,140,30.0,991,7072,True
16,1000,100,100,50.0,991,10785,True
16,1000,140,60,70.0,991,15637,True
16,1000,180,20,90.0,991,20168,True
