threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,671,True
1,1000,60,140,30.0,991,571,True
1,1000,100,100,50.0,991,664,True
1,1000,140,60,70.0,991,608,True
1,1000,180,20,90.0,991,593,True
2,1000,20,180,10.0,991,510,True
2,1000,60,140,30.0,991,496,True
2,1000,100,100,50.0,991,608,True
2,1000,140,60,70.0,991,994,True
2,1000,180,20,90.0,991,1020,True
4,1000,20,180,10.0,991,547,True
4,1000,60,140,30.0,991,800,True
4,1000,100,100,50.0,991,1175,True
4,1000,140,60,70.0,991,1798,True
4,1000,180,20,90.0,991,2268,True
8,1000,20,180,10.0,991,917,True
8,1000,60,140,30.0,991,1627,True
8,1000,100,100,50.0,991,2643,True
8,1000,140,60,70.0,991,2980,True
8,1000,180,20,90.0,991,3747,True
16,1000,20,180,10.0,991,2180,True
16,1000,60,140,30.0,991,3311,True
16,1000,100,100,50.0,991,4827,True
16,1000,140,60,70.0,991,6236,True
16,1000,180,20,90.0,991,8042,True
