threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,526,True
1,1000,60,140,30.0,991,609,True
1,1000,100,100,50.0,991,573,True
1,1000,140,60,70.0,991,541,True
1,1000,180,20,90.0,991,566,True
2,1000,20,180,10.0,991,527,True
2,1000,60,140,30.0,991,541,True
2,1000,100,100,50.0,991,540,True
2,1000,140,60,70.0,991,776,True
2,1000,180,20,90.0,991,1008,True
4,1000,20,180,10.0,991,560,True
4,1000,60,140,30.0,991,611,True
4,1000,100,100,50.0,991,1179,True
4,1000,140,60,70.0,991,2214,True
4,1000,180,20,90.0,991,2306,True
8,1000,20,180,10.0,991,1256,True
8,1000,60,140,30.0,991,2336,True
8,1000,100,100,50.0,991,3648,True
8,1000,140,60,70.0,991,4827,True
8,1000,180,20,90.0,991,6068,True
16,1000,20,180,10.0,991,3989,True
16,1000,60,140,30.0,991,8171,True
16,1000,100,100,50.0,991,13665,True
16,1000,140,60,70.0,991,16544,True
16,1000,180,20,90.0,991,25147,True
