threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,574,True
1,1000,60,140,30.0,991,671,True
1,1000,100,100,50.0,991,589,True
1,1000,140,60,70.0,991,539,True
1,1000,180,20,90.0,991,527,True
2,1000,20,180,10.0,991,526,True
2,1000,60,140,30.0,991,497,True
2,1000,100,100,50.0,991,519,True
2,1000,140,60,70.0,991,694,True
2,1000,180,20,90.0,991,950,True
4,1000,20,180,10.0,991,538,True
4,1000,60,140,30.0,991,824,True
4,1000,100,100,50.0,991,1155,True
4,1000,140,60,70.0,991,1471,True
4,1000,180,20,90.0,991,2347,True
8,1000,20,180,10.0,991,1153,True
8,1000,60,140,30.0,991,1943,True
8,1000,100,100,50.0,991,3310,True
8,1000,140,60,70.0,991,3619,True
8,1000,180,20,90.0,991,4544,True
16,1000,20,180,10.0,991,2468,True
16,1000,60,140,30.0,991,4164,True
16,1000,100,100,50.0,991,5136,True
16,1000,140,60,70.0,991,7311,True
16,1000,180,20,90.0,991,9307,True
