threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,615,True
1,1000,60,140,30.0,991,752,True
1,1000,100,100,50.0,991,801,True
1,1000,140,60,70.0,991,569,True
1,1000,180,20,90.0,991,583,True
2,1000,20,180,10.0,991,573,True
2,1000,60,140,30.0,991,573,True
2,1000,100,100,50.0,991,601,True
2,1000,140,60,70.0,991,869,True
2,1000,180,20,90.0,991,1067,True
4,1000,20,180,10.0,991,818,True
4,1000,60,140,30.0,991,950,True
4,1000,100,100,50.0,991,1428,True
4,1000,140,60,70.0,991,1719,True
4,1000,180,20,90.0,991,2479,True
8,1000,20,180,10.0,991,1338,True
8,1000,60,140,30.0,991,2067,True
8,1000,100,100,50.0,991,2961,True
8,1000,140,60,70.0,991,3560,True
8,1000,180,20,90.0,991,4277,True
16,1000,20,180,10.0,991,2025,True
16,1000,60,140,30.0,991,3514,True
16,1000,100,100,50.0,991,5252,True
16,1000,140,60,70.0,991,7113,True
16,1000,180,20,90.0,991,8537,True
