threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,600,True
1,1000,60,140,30.0,991,634,True
1,1000,100,100,50.0,991,571,True
1,1000,140,60,70.0,991,550,True
1,1000,180,20,90.0,991,549,True
2,1000,20,180,10.0,991,1087,True
2,1000,60,140,30.0,991,1106,True
2,1000,100,100,50.0,991,1124,True
2,1000,140,60,70.0,991,1540,True
2,1000,180,20,90.0,991,1928,True
4,1000,20,180,10.0,991,2035,True
4,1000,60,140,30.0,991,2512,True
4,1000,100,100,50.0,991,4520,True
4,1000,140,60,70.0,991,6434,True
4,1000,180,20,90.0,991,8075,True
8,1000,20,180,10.0,991,7954,True
8,1000,60,140,30.0,991,16051,True
8,1000,100,100,50.0,991,26150,True
8,1000,140,60,70.0,991,35029,True
8,1000,180,20,90.0,991,41878,True
16,1000,20,180,10.0,991,32819,True
16,1000,60,140,30.0,991,55628,True
16,1000,100,100,50.0,991,94054,True
16,1000,140,60,70.0,991,110487,True
16,1000,180,20,90.0,991,137374,True
