threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,635,True
1,1000,60,140,30.0,991,692,True
1,1000,100,100,50.0,991,600,True
1,1000,140,60,70.0,991,563,True
1,1000,180,20,90.0,991,653,True
2,1000,20,180,10.0,991,654,True
2,1000,60,140,30.0,991,652,True
2,1000,100,100,50.0,991,698,True
2,1000,140,60,70.0,991,815,True
2,1000,180,20,90.0,991,1096,True
4,1000,20,180,10.0,991,871,True
4,1000,60,140,30.0,991,905,True
4,1000,100,100,50.0,991,1266,True
4,1000,140,60,70.0,991,1766,True
4,1000,180,20,90.0,991,2150,True
8,1000,20,180,10.0,991,979,True
8,1000,60,140,30.0,991,1753,True
8,1000,100,100,50.0,991,2473,True
8,1000,140,60,70.0,991,3432,True
8,1000,180,20,90.0,991,4247,True
16,1000,20,180,10.0,991,1991,True
16,1000,60,140,30.0,991,3544,True
16,1000,100,100,50.0,991,5962,True
16,1000,140,60,70.0,991,7657,True
16,1000,180,20,90.0,991,8587,True
