threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,538,True
1,1000,60,140,30.0,991,581,True
1,1000,100,100,50.0,991,659,True
1,1000,140,60,70.0,991,543,True
1,1000,180,20,90.0,991,549,True
2,1000,20,180,10.0,991,1153,True
2,1000,60,140,30.0,991,1033,True
2,1000,100,100,50.0,991,1042,True
2,1000,140,60,70.0,991,1126,True
2,1000,180,20,90.0,991,1158,True
4,1000,20,180,10.0,991,2357,True
4,1000,60,140,30.0,991,2125,True
4,1000,100,100,50.0,991,2284,True
4,1000,140,60,70.0,991,2242,True
4,1000,180,20,90.0,991,2194,True
8,1000,20,180,10.0,991,3963,True
8,1000,60,140,30.0,991,4313,True
8,1000,100,100,50.0,991,4069,True
8,1000,140,60,70.0,991,4132,True
8,1000,180,20,90.0,991,4384,True
16,1000,20,180,10.0,991,8106,True
16,1000,60,140,30.0,991,7354,True
16,1000,100,100,50.0,991,7328,True
16,1000,140,60,70.0,991,7523,True
16,1000,180,20,90.0,991,7306,True
