threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,936,True
1,1000,64000,1968,True
1,1000,96000,2252,True
1,1000,128000,2942,True
1,1000,160000,4044,True
2,1000,32000,1926,True
2,1000,64000,4412,True
2,1000,96000,6804,True
2,1000,128000,9388,True
2,1000,160000,8883,True
4,1000,32000,3274,True
4,1000,64000,5653,True
4,1000,96000,8546,True
4,1000,128000,11471,True
4,1000,160000,15418,True
8,1000,32000,3400,True
8,1000,64000,6374,True
8,1000,96000,8807,True
8,1000,128000,12730,True
8,1000,160000,15329,True
16,1000,32000,2932,True
16,1000,64000,6211,True
16,1000,96000,9611,True
16,1000,128000,12443,True
16,1000,160000,16054,True
