threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,353,True
1,1000,64000,649,True
1,1000,96000,960,True
1,1000,128000,1264,True
1,1000,160000,1557,True
2,1000,32000,725,True
2,1000,64000,1395,True
2,1000,96000,2209,True
2,1000,128000,2707,True
2,1000,160000,2804,True
4,1000,32000,576,True
4,1000,64000,1086,True
4,1000,96000,1627,True
4,1000,128000,2470,True
4,1000,160000,2722,True
8,1000,32000,632,True
8,1000,64000,1187,True
8,1000,96000,1708,True
8,1000,128000,2526,True
8,1000,160000,2792,True
16,1000,32000,687,True
16,1000,64000,1326,True
16,1000,96000,1900,True
16,1000,128000,2356,True
16,1000,160000,2888,True
