threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,674,True
1,1000,60,140,30.0,991,670,True
1,1000,100,100,50.0,991,677,True
1,1000,140,60,70.0,991,673,True
1,1000,180,20,90.0,991,673,True
2,1000,20,180,10.0,991,698,True
2,1000,60,140,30.0,991,698,True
2,1000,100,100,50.0,991,692,True
2,1000,140,60,70.0,991,965,True
2,1000,180,20,90.0,991,1242,True
4,1000,20,180,10.0,991,1220,True
4,1000,60,140,30.0,991,1348,True
4,1000,100,100,50.0,991,2106,True
4,1000,140,60,70.0,991,2730,True
4,1000,180,20,90.0,991,3356,True
8,1000,20,180,10.0,991,22935,True
8,1000,60,140,30.0,991,23930,True
8,1000,100,100,50.0,991,28425,True
8,1000,140,60,70.0,991,23012,True
8,1000,180,20,90.0,991,22550,True
16,1000,20,180,10.0,991,130893,True
16,1000,60,140,30.0,991,132532,True
16,1000,100,100,50.0,991,140511,True
16,1000,140,60,70.0,991,133780,True
16,1000,180,20,90.0,991,139964,True
