threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,544,True
1,1000,60,140,30.0,991,548,True
1,1000,100,100,50.0,991,550,True
1,1000,140,60,70.0,991,563,True
1,1000,180,20,90.0,991,547,True
2,1000,20,180,10.0,991,677,True
2,1000,60,140,30.0,991,650,True
2,1000,100,100,50.0,991,604,True
2,1000,140,60,70.0,991,797,True
2,1000,180,20,90.0,991,1073,True
4,1000,20,180,10.0,991,965,True
4,1000,60,140,30.0,991,1058,True
4,1000,100,100,50.0,991,1539,True
4,1000,140,60,70.0,991,2020,True
4,1000,180,20,90.0,991,2444,True
8,1000,20,180,10.0,991,2611,True
8,1000,60,140,30.0,991,3861,True
8,1000,100,100,50.0,991,7471,True
8,1000,140,60,70.0,991,7482,True
8,1000,180,20,90.0,991,10100,True
16,1000,20,180,10.0,991,6570,True
16,1000,60,140,30.0,991,16275,True
16,1000,100,100,50.0,991,24728,True
16,1000,140,60,70.0,991,29206,True
16,1000,180,20,90.0,991,40332,True
