threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,703,True
1,1000,60,140,30.0,991,694,True
1,1000,100,100,50.0,991,735,True
1,1000,140,60,70.0,991,681,True
1,1000,180,20,90.0,991,689,True
2,1000,20,180,10.0,991,745,True
2,1000,60,140,30.0,991,696,True
2,1000,100,100,50.0,991,790,True
2,1000,140,60,70.0,991,1186,True
2,1000,180,20,90.0,991,1462,True
4,1000,20,180,10.0,991,1253,True
4,1000,60,140,30.0,991,1456,True
4,1000,100,100,50.0,991,1980,True
4,1000,140,60,70.0,991,2412,True
4,1000,180,20,90.0,991,2991,True
8,1000,20,180,10.0,991,2766,True
8,1000,60,140,30.0,991,3107,True
8,1000,100,100,50.0,991,3564,True
8,1000,140,60,70.0,991,5034,True
8,1000,180,20,90.0,991,5841,True
16,1000,20,180,10.0,991,5528,True
16,1000,60,140,30.0,991,5972,True
16,1000,100,100,50.0,991,8538,True
16,1000,140,60,70.0,991,10095,True
16,1000,180,20,90.0,991,11920,True
