threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,554,True
1,1000,60,140,30.0,991,549,True
1,1000,100,100,50.0,991,545,True
1,1000,140,60,70.0,991,545,True
1,1000,180,20,90.0,991,559,True
2,1000,20,180,10.0,991,562,True
2,1000,60,140,30.0,991,566,True
2,1000,100,100,50.0,991,567,True
2,1000,140,60,70.0,991,788,True
2,1000,180,20,90.0,991,1012,True
4,1000,20,180,10.0,991,907,True
4,1000,60,140,30.0,991,1016,True
4,1000,100,100,50.0,991,1601,True
4,1000,140,60,70.0,991,2068,True
4,1000,180,20,90.0,991,2543,True
8,1000,20,180,10.0,991,2380,True
8,1000,60,140,30.0,991,3852,True
8,1000,100,100,50.0,991,6055,True
8,1000,140,60,70.0,991,8388,True
8,1000,180,20,90.0,991,9402,True
16,1000,20,180,10.0,991,6176,True
16,1000,60,140,30.0,991,16031,True
16,1000,100,100,50.0,991,25204,True
16,1000,140,60,70.0,991,32252,True
16,1000,180,20,90.0,991,39648,True
