threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,730,True
1,1000,60,140,30.0,991,776,True
1,1000,100,100,50.0,991,718,True
1,1000,140,60,70.0,991,728,True
1,1000,180,20,90.0,991,703,True
2,1000,20,180,10.0,991,820,True
2,1000,60,140,30.0,991,815,True
2,1000,100,100,50.0,991,980,True
2,1000,140,60,70.0,991,1315,True
2,1000,180,20,90.0,991,1623,True
4,1000,20,180,10.0,991,1277,True
4,1000,60,140,30.0,991,1468,True
4,1000,100,100,50.0,991,1822,True
4,1000,140,60,70.0,991,2441,True
4,1000,180,20,90.0,991,3016,True
8,1000,20,180,10.0,991,2924,True
8,1000,60,140,30.0,991,3061,True
8,1000,100,100,50.0,991,3978,True
8,1000,140,60,70.0,991,5156,True
8,1000,180,20,90.0,991,5749,True
16,1000,20,180,10.0,991,5287,True
16,1000,60,140,30.0,991,6237,True
16,1000,100,100,50.0,991,7826,True
16,1000,140,60,70.0,991,10115,True
16,1000,180,20,90.0,991,11624,True
