threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,694,True
1,1000,60,140,30.0,991,717,True
1,1000,100,100,50.0,991,740,True
1,1000,140,60,70.0,991,709,True
1,1000,180,20,90.0,991,686,True
2,1000,20,180,10.0,991,1652,True
2,1000,60,140,30.0,991,1478,True
2,1000,100,100,50.0,991,1555,True
2,1000,140,60,70.0,991,2109,True
2,1000,180,20,90.0,991,2761,True
4,1000,20,180,10.0,991,5658,True
4,1000,60,140,30.0,991,6175,True
4,1000,100,100,50.0,991,8513,True
4,1000,140,60,70.0,991,12560,True
4,1000,180,20,90.0,991,15922,True
8,1000,20,180,10.0,991,24931,True
8,1000,60,140,30.0,991,23690,True
8,1000,100,100,50.0,991,32101,True
8,1000,140,60,70.0,991,38623,True
8,1000,180,20,90.0,991,45268,True
16,1000,20,180,10.0,991,86609,True
16,1000,60,140,30.0,991,101249,True
16,1000,100,100,50.0,991,130721,True
16,1000,140,60,70.0,991,152216,True
16,1000,180,20,90.0,991,173640,True
