threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,685,True
1,1000,60,140,30.0,991,684,True
1,1000,100,100,50.0,991,678,True
1,1000,140,60,70.0,991,678,True
1,1000,180,20,90.0,991,681,True
2,1000,20,180,10.0,991,697,True
2,1000,60,140,30.0,991,699,True
2,1000,100,100,50.0,991,738,True
2,1000,140,60,70.0,991,1133,True
2,1000,180,20,90.0,991,1354,True
4,1000,20,180,10.0,991,1261,True
4,1000,60,140,30.0,991,1447,True
4,1000,100,100,50.0,991,2054,True
4,1000,140,60,70.0,991,2515,True
4,1000,180,20,90.0,991,2696,True
8,1000,20,180,10.0,991,2514,True
8,1000,60,140,30.0,991,2896,True
8,1000,100,100,50.0,991,3902,True
8,1000,140,60,70.0,991,4801,True
8,1000,180,20,90.0,991,5593,True
16,1000,20,180,10.0,991,5056,True
16,1000,60,140,30.0,991,6574,True
16,1000,100,100,50.0,991,7671,True
16,1000,140,60,70.0,991,9562,True
16,1000,180,20,90.0,991,11211,True
