threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,558,True
1,1000,60,140,30.0,991,562,True
1,1000,100,100,50.0,991,556,True
1,1000,140,60,70.0,991,560,True
1,1000,180,20,90.0,991,563,True
2,1000,20,180,10.0,991,1142,True
2,1000,60,140,30.0,991,1132,True
2,1000,100,100,50.0,991,1102,True
2,1000,140,60,70.0,991,1100,True
2,1000,180,20,90.0,991,1107,True
4,1000,20,180,10.0,991,2337,True
4,1000,60,140,30.0,991,2324,True
4,1000,100,100,50.0,991,2287,True
4,1000,140,60,70.0,991,2199,True
4,1000,180,20,90.0,991,2455,True
8,1000,20,180,10.0,991,4591,True
8,1000,60,140,30.0,991,4424,True
8,1000,100,100,50.0,991,4595,True
8,1000,140,60,70.0,991,4401,True
8,1000,180,20,90.0,991,4540,True
16,1000,20,180,10.0,991,9160,True
16,1000,60,140,30.0,991,9042,True
16,1000,100,100,50.0,991,8989,True
16,1000,140,60,70.0,991,9044,True
16,1000,180,20,90.0,991,8908,True
