threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,661,True
1,1000,64000,1266,True
1,1000,96000,1875,True
1,1000,128000,2436,True
1,1000,160000,3123,True
2,1000,32000,1288,True
2,1000,64000,2518,True
2,1000,96000,5191,True
2,1000,128000,7537,True
2,1000,160000,6204,True
4,1000,32000,2777,True
4,1000,64000,4917,True
4,1000,96000,6582,True
4,1000,128000,9889,True
4,1000,160000,12347,True
8,1000,32000,2754,True
8,1000,64000,5074,True
8,1000,96000,7960,True
8,1000,128000,10492,True
8,1000,160000,14197,True
16,1000,32000,2686,True
16,1000,64000,5669,True
16,1000,96000,8586,True
16,1000,128000,11549,True
16,1000,160000,14585,True
