threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,287,True
1,1000,64000,540,True
1,1000,96000,791,True
1,1000,128000,1008,True
1,1000,160000,1240,True
2,1000,32000,583,True
2,1000,64000,1253,True
2,1000,96000,1352,True
2,1000,128000,2368,True
2,1000,160000,2166,True
4,1000,32000,484,True
4,1000,64000,894,True
4,1000,96000,1425,True
4,1000,128000,1712,True
4,1000,160000,2115,True
8,1000,32000,629,True
8,1000,64000,1123,True
8,1000,96000,1365,True
8,1000,128000,1807,True
8,1000,160000,2289,True
16,1000,32000,678,True
16,1000,64000,1077,True
16,1000,96000,1459,True
16,1000,128000,1969,True
16,1000,160000,2376,True
