threads,iterations,counter_targets,execution_time_ms,success
1,1000,32000,1269,True
1,1000,64000,2184,True
1,1000,96000,3360,True
1,1000,128000,4547,True
1,1000,160000,5623,True
2,1000,32000,3558,True
2,1000,64000,6705,True
2,1000,96000,9604,True
2,1000,128000,14590,True
2,1000,160000,16914,True
4,1000,32000,7447,True
4,1000,64000,13814,True
4,1000,96000,19984,True
4,1000,128000,29861,True
4,1000,160000,36707,True
8,1000,32000,7498,True
8,1000,64000,14598,True
8,1000,96000,22723,True
8,1000,128000,29753,True
8,1000,160000,37869,True
16,1000,32000,7481,True
16,1000,64000,15066,True
16,1000,96000,23247,True
16,1000,128000,30796,True
16,1000,160000,38376,True
