threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,599,True
1,1000,60,140,30.0,991,546,True
1,1000,100,100,50.0,991,537,True
1,1000,140,60,70.0,991,564,True
1,1000,180,20,90.0,991,533,True
2,1000,20,180,10.0,991,609,True
2,1000,60,140,30.0,991,608,True
2,1000,100,100,50.0,991,600,True
2,1000,140,60,70.0,991,801,True
2,1000,180,20,90.0,991,979,True
4,1000,20,180,10.0,991,1171,True
4,1000,60,140,30.0,991,1293,True
4,1000,100,100,50.0,991,1817,True
4,1000,140,60,70.0,991,2332,True
4,1000,180,20,90.0,991,2870,True
8,1000,20,180,10.0,991,8084,True
8,1000,60,140,30.0,991,8359,True
8,1000,100,100,50.0,991,15363,True
8,1000,140,60,70.0,991,15939,True
8,1000,180,20,90.0,991,17903,True
16,1000,20,180,10.0,991,70595,True
16,1000,60,140,30.0,991,92244,True
16,1000,100,100,50.0,991,80416,True
16,1000,140,60,70.0,991,96447,True
16,1000,180,20,90.0,991,95926,True
