threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,551,True
1,1000,60,140,30.0,991,576,True
1,1000,100,100,50.0,991,536,True
1,1000,140,60,70.0,991,565,True
1,1000,180,20,90.0,991,541,True
2,1000,20,180,10.0,991,581,True
2,1000,60,140,30.0,991,595,True
2,1000,100,100,50.0,991,599,True
2,1000,140,60,70.0,991,780,True
2,1000,180,20,90.0,991,981,True
4,1000,20,180,10.0,991,1160,True
4,1000,60,140,30.0,991,1249,True
4,1000,100,100,50.0,991,1745,True
4,1000,140,60,70.0,991,2248,True
4,1000,180,20,90.0,991,2724,True
8,1000,20,180,10.0,991,2817,True
8,1000,60,140,30.0,991,4408,True
8,1000,100,100,50.0,991,6215,True
8,1000,140,60,70.0,991,8330,True
8,1000,180,20,90.0,991,10414,True
16,1000,20,180,10.0,991,10096,True
16,1000,60,140,30.0,991,16351,True
16,1000,100,100,50.0,991,24248,True
16,1000,140,60,70.0,991,32552,True
16,1000,180,20,90.0,991,41810,True
