threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,608,True
1,1000,60,140,30.0,991,610,True
1,1000,100,100,50.0,991,611,True
1,1000,140,60,70.0,991,600,True
1,1000,180,20,90.0,991,593,True
2,1000,20,180,10.0,991,613,True
2,1000,60,140,30.0,991,615,True
2,1000,100,100,50.0,991,708,True
2,1000,140,60,70.0,991,948,True
2,1000,180,20,90.0,991,1124,True
4,1000,20,180,10.0,991,1118,True
4,1000,60,140,30.0,991,1259,True
4,1000,100,100,50.0,991,1423,True
4,1000,140,60,70.0,991,1872,True
4,1000,180,20,90.0,991,2264,True
8,1000,20,180,10.0,991,2536,True
8,1000,60,140,30.0,991,2721,True
8,1000,100,100,50.0,991,3186,True
8,1000,140,60,70.0,991,3897,True
8,1000,180,20,90.0,991,4567,True
16,1000,20,180,10.0,991,4562,True
16,1000,60,140,30.0,991,5166,True
16,1000,100,100,50.0,991,6645,True
16,1000,140,60,70.0,991,7695,True
16,1000,180,20,90.0,991,8730,True
