threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,575,True
1,1000,60,140,30.0,991,549,True
1,1000,100,100,50.0,991,625,True
1,1000,140,60,70.0,991,639,True
1,1000,180,20,90.0,991,615,True
2,1000,20,180,10.0,991,613,True
2,1000,60,140,30.0,991,604,True
2,1000,100,100,50.0,991,614,True
2,1000,140,60,70.0,991,812,True
2,1000,180,20,90.0,991,1005,True
4,1000,20,180,10.0,991,1179,True
4,1000,60,140,30.0,991,1277,True
4,1000,100,100,50.0,991,1877,True
4,1000,140,60,70.0,991,2418,True
4,1000,180,20,90.0,991,2947,True
8,1000,20,180,10.0,991,3019,True
8,1000,60,140,30.0,991,4689,True
8,1000,100,100,50.0,991,7117,True
8,1000,140,60,70.0,991,10370,True
8,1000,180,20,90.0,991,12730,True
16,1000,20,180,10.0,991,8494,True
16,1000,60,140,30.0,991,16464,True
16,1000,100,100,50.0,991,27032,True
16,1000,140,60,70.0,991,34602,True
16,1000,180,20,90.0,991,40628,True
