threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,574,True
1,1000,60,140,30.0,991,576,True
1,1000,100,100,50.0,991,562,True
1,1000,140,60,70.0,991,559,True
1,1000,180,20,90.0,991,590,True
2,1000,20,180,10.0,991,616,True
2,1000,60,140,30.0,991,631,True
2,1000,100,100,50.0,991,692,True
2,1000,140,60,70.0,991,960,True
2,1000,180,20,90.0,991,1120,True
4,1000,20,180,10.0,991,1114,True
4,1000,60,140,30.0,991,1357,True
4,1000,100,100,50.0,991,1531,True
4,1000,140,60,70.0,991,1824,True
4,1000,180,20,90.0,991,2225,True
8,1000,20,180,10.0,991,2454,True
8,1000,60,140,30.0,991,2468,True
8,1000,100,100,50.0,991,3174,True
8,1000,140,60,70.0,991,3785,True
8,1000,180,20,90.0,991,4425,True
16,1000,20,180,10.0,991,4518,True
16,1000,60,140,30.0,991,5016,True
16,1000,100,100,50.0,991,6367,True
16,1000,140,60,70.0,991,7424,True
16,1000,180,20,90.0,991,8798,True
