threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,562,True
1,1000,60,140,30.0,991,557,True
1,1000,100,100,50.0,991,588,True
1,1000,140,60,70.0,991,541,True
1,1000,180,20,90.0,991,537,True
2,1000,20,180,10.0,991,562,True
2,1000,60,140,30.0,991,547,True
2,1000,100,100,50.0,991,572,True
2,1000,140,60,70.0,991,847,True
2,1000,180,20,90.0,991,1046,True
4,1000,20,180,10.0,991,973,True
4,1000,60,140,30.0,991,1022,True
4,1000,100,100,50.0,991,1566,True
4,1000,140,60,70.0,991,1858,True
4,1000,180,20,90.0,991,2120,True
8,1000,20,180,10.0,991,1977,True
8,1000,60,140,30.0,991,2156,True
8,1000,100,100,50.0,991,2972,True
8,1000,140,60,70.0,991,3648,True
8,1000,180,20,90.0,991,4225,True
16,1000,20,180,10.0,991,4591,True
16,1000,60,140,30.0,991,5295,True
16,1000,100,100,50.0,991,6577,True
16,1000,140,60,70.0,991,7891,True
16,1000,180,20,90.0,991,8799,True
