threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,598,True
1,1000,60,140,30.0,991,695,True
1,1000,100,100,50.0,991,604,True
1,1000,140,60,70.0,991,573,True
1,1000,180,20,90.0,991,570,True
2,1000,20,180,10.0,991,1185,True
2,1000,60,140,30.0,991,1751,True
2,1000,100,100,50.0,991,1530,True
2,1000,140,60,70.0,991,1677,True
2,1000,180,20,90.0,991,1979,True
4,1000,20,180,10.0,991,5012,True
4,1000,60,140,30.0,991,5768,True
4,1000,100,100,50.0,991,10868,True
4,1000,140,60,70.0,991,18471,True
4,1000,180,20,90.0,991,18363,True
8,1000,20,180,10.0,991,19705,True
8,1000,60,140,30.0,991,23006,True
8,1000,100,100,50.0,991,30720,True
8,1000,140,60,70.0,991,30465,True
8,1000,180,20,90.0,991,35834,True
16,1000,20,180,10.0,991,78585,True
16,1000,60,140,30.0,991,81834,True
16,1000,100,100,50.0,991,121278,True
16,1000,140,60,70.0,991,122799,True
16,1000,180,20,90.0,991,136324,True
