threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,615,True
1,1000,60,140,30.0,991,537,True
1,1000,100,100,50.0,991,534,True
1,1000,140,60,70.0,991,558,True
1,1000,180,20,90.0,991,525,True
2,1000,20,180,10.0,991,612,True
2,1000,60,140,30.0,991,594,True
2,1000,100,100,50.0,991,647,True
2,1000,140,60,70.0,991,928,True
2,1000,180,20,90.0,991,1081,True
4,1000,20,180,10.0,991,1128,True
4,1000,60,140,30.0,991,1190,True
4,1000,100,100,50.0,991,1508,True
4,1000,140,60,70.0,991,1861,True
4,1000,180,20,90.0,991,2286,True
8,1000,20,180,10.0,991,2303,True
8,1000,60,140,30.0,991,2391,True
8,1000,100,100,50.0,991,3081,True
8,1000,140,60,70.0,991,3762,True
8,1000,180,20,90.0,991,4347,True
16,1000,20,180,10.0,991,4591,True
16,1000,60,140,30.0,991,4917,True
16,1000,100,100,50.0,991,6306,True
16,1000,140,60,70.0,991,7771,True
16,1000,180,20,90.0,991,8409,True
