threads,iterations,inside_work,outside_work,inside_percentage,check_target,execution_time_ms,success
1,1000,20,180,10.0,991,707,True
1,1000,60,140,30.0,991,705,True
1,1000,100,100,50.0,991,647,True
1,1000,140,60,70.0,991,571,True
1,1000,180,20,90.0,991,623,True
2,1000,20,180,10.0,991,1262,True
2,1000,60,140,30.0,991,1126,True
2,1000,100,100,50.0,991,1246,True
2,1000,140,60,70.0,991,1216,True
2,1000,180,20,90.0,991,1121,True
4,1000,20,180,10.0,991,2473,True
4,1000,60,140,30.0,991,2403,True
4,1000,100,100,50.0,991,2541,True
4,1000,140,60,70.0,991,2503,True
4,1000,180,20,90.0,991,2430,True
8,1000,20,180,10.0,991,4833,True
8,1000,60,140,30.0,991,4737,True
8,1000,100,100,50.0,991,4797,True
8,1000,140,60,70.0,991,4402,True
8,1000,180,20,90.0,991,4598,True
16,1000,20,180,10.0,991,8950,True
16,1000,60,140,30.0,991,9289,True
16,1000,100,100,50.0,991,8972,True
16,1000,140,60,70.0,991,9720,True
16,1000,180,20,90.0,991,8703,True
